AREA_EN,config,n_tx,median_price,p25_price,p75_price,median_psf,median_sqft,offplan_share_pct,freehold_share_pct
AL FURJAN,1BR,103,1040000.0,880000.0,1200000.0,1235.7599189460125,820.3168189999999,0.0,100.0
AL FURJAN,2BR,99,1650000.0,1410000.0,1850000.0,1250.2997190647839,1253.563794,0.0,100.0
AL FURJAN,3BR+,33,2298654.0,1875000.0,2450000.0,1202.1220747388302,1763.9879319999998,0.0,100.0
AL FURJAN,STUDIO,100,533000.0,500000.0,570000.0,1368.531869596011,390.62193099999996,0.0,100.0
DUBAI MARINA,1BR,242,1525000.0,1200000.0,2000000.0,1783.6813028712056,837.0546835,0.0,100.0
DUBAI MARINA,2BR,177,2405656.0,1975000.0,3150000.0,1799.701894711935,1329.3416499999998,0.0,100.0
DUBAI MARINA,3BR+,96,3901000.0,3000000.0,5300000.0,1668.749878335,2090.9413944999997,0.0,100.0
DUBAI MARINA,STUDIO,51,1060000.0,925000.0,1410000.0,2357.947459554481,478.99354999999997,0.0,100.0
DUBAI SOUTH,1BR,125,745153.0,695183.5,797563.0,1041.0639795959885,725.5944989999999,0.0,100.0
DUBAI SOUTH,2BR,69,1077000.0,710000.0,1190000.0,1046.4019095660178,944.5322249999999,0.0,100.0
DUBAI SOUTH,STUDIO,70,499038.0,478000.0,535000.0,1208.0918961796033,404.93791799999997,0.0,100.0
JUMEIRAH LAKES TOWERS,1BR,149,1130000.0,1020000.0,1380000.0,1389.2249155261725,827.851549,0.0,100.0
JUMEIRAH LAKES TOWERS,2BR,91,1850000.0,1500000.0,2545000.0,1474.3775283883413,1372.074333,0.0,100.0
JUMEIRAH LAKES TOWERS,3BR+,28,2712500.0,2240000.0,3320000.0,1457.1633140840759,2124.040387,0.0,100.0
JUMEIRAH LAKES TOWERS,STUDIO,49,776000.0,680000.0,835000.0,1707.8494739434504,440.028232,0.0,100.0
TOWN SQUARE,1BR,65,830000.0,775000.0,900000.0,1476.2149879202314,591.6915829999999,0.0,100.0
TOWN SQUARE,2BR,75,1200000.0,1150000.0,1350000.0,1281.3469526174993,931.0773499999999,0.0,100.0
TOWN SQUARE,3BR+,21,1880000.0,1750000.0,2000000.0,1254.209869044178,1414.5917379999999,0.0,100.0
TOWN SQUARE,STUDIO,20,560000.0,528000.0,600000.0,1614.8651261587534,346.81285799999995,0.0,100.0
